Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
Savannah (Sally Malay),WA,2004-2021#,9.21,,,0.65,,,1.28,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,307",7.69,4.33,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,,,100.6,5.29,,,,,,,,,,,,,,,,,,10.8,,E,,Op,Ni-Cu-Co
Forrestania,WA,1992-1999,3.81,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.9,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni
Flying Fox-Spotted Quoll,WA,2006-2021#,7.44,,,,,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,946",14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.9,,,,,,,,,,,,,,,,,,,ND,,,,Op,Ni
Lake Johnston,WA,2001-2013@,5.71,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.6E,14.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni
Black Swan-Silver Swan,WA,1997-2009,9.19,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.3E,19.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.2,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni
Greenvale-Brolga,QLD,1974-1995,31.3,,,,,,1.41,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.4,14.6,,,,,,,,,,,,,,,,,,ND,,,,Rehab,Ni-Co
Ravensthorpe,WA,"2011-2021@,#",18.8,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.2,,,,,,,,,,,,,,,,,,,ND,,,,Op,Ni
Avebury,TAS,2008-2009,0.441,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9E,12.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni
Windarra,WA,1974-1991,7.75,,,0.15E,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.5,10.29,0.93E,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,92.5,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni-Cu-Co
Murrin Murrin,WA,1999-2021#,80.0E,,,,,,1.13E,0.082E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.1,52.9,,,,,,,,,,,,,,,,,,ND,,,,Op,Ni-Co
Cawse,WA,1998-2008@,2.90,,,,,,0.91,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,2.85,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni-Co
Rav8,WA,2000-2001,0.200,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni-Cu-Co
Radio Hill,WA,1998-2007@,1.52,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.2,10.8,6.41,0.60,4.1E,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,25.3,1.39,,,,,,,0.96,,,,,,,,,,,ND,PGEs,,,C&M,Ni-Cu-Co
Scotia,WA,1970-1977,0.823,,,0.15,,,2.14,0.03E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.3,13.18,0.57E,0.17E,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,,,18.6,0.19,,,,,,,,,,,,,,,,,,ND,,,,Aban,Ni-Cu-Co
Carr Boyd,WA,1973-1975,0.178,,,0.48,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,9.57,0.98E,0.19E,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,1.95,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Ni-Cu-Co
Waterloo,WA,2006+2008,0.496,,,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni-Cu-Co
Nepean,WA,1970-1987@,1.06,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.3E,15.3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Ni-Cu-Co
Cosmos,WA,2000-2013,4.48,,,0.14,,,4.01,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.0E,19.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70,,,155.8,1.65,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni-Cu-Co
Bulong,WA,1999-2002,1.23,,,,,,1.79,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,1.02,,,,,,,,,,,,,,,,,,ND,,,,C&M,Ni-Co
Nova-Bollinger,WA,2016-2021#,7.40,,,0.85,,,2.02,0.073,,,,,,,,,,,,,,,185.0,29.7E,,,,,,,,,,,,,,,,,968.8,13.4,0.30E,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,57.8,,,129.8,4.68,,,,,,,,,,,,,,,,,,ND,,,,Op,Ni-Cu-Co
Spargoville,WA,1975-1980,0.601,,,0.16E,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3E,16.7E,1.25E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,12.6,,,,,,,,,,,,,,,,,,,ND,Cu,,,Aban,Ni-Cu-Co
Five Mile-CuNi (Zeehan Field),TAS,1913-1938@,0.0089E,,,4.7E,,,9.7E,,,,,,,,0.0089E,4.7E,,,,,9.7E,%Ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,0.87,,,,,,,,,,,,,,,,,,,ND,"Cu, Ni",,,Aban,Ni
Hellyer,TAS,1986-2000,15.1,2.1,149,0.18E,6.2,12.0,,,,,,,,,,,,,,,,,102.3,12.1,5.2E,"4,506",,,668.1,57.6,6.9,520,,3.0E,"2,380",50.4,3.4E,,,,,,,,,,,,,,,,,,,,,,,968.8,,15.9,32.6,299,2.4E,,,4.1,"1,011",12.4,572.6,"1,466",,,,,,,,,,,,,,,,,,,,ND,Au,,,C&M,Cu-Zn-Pb-Ag-Au
Fossey,TAS,2011-2012,0.542,1.8,93,0.31,4.2,7.5,,,,,,,,,,,,,,,,,3.68,16.7,12.5,"4,088",9.5,,25.2,55.5,,638,,2.3,58.8,50.9,,117,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,38.1,0.62,14.4,29.9,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu-Zn-Pb-Ag-Au
Magellan,WA,2005-2015@,5.68,,1.9E,,7.2,,,,,,,,,,,,,,,,,,,,,,,,463.9,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.9,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Pb
Cadjebut-Pillara,WA,1989-2008@,20.1,,,,2.86,7.99,,,,,,,,,,,,,,,,,,,,,,,707.1E,76.6,,,,,"2,565E",60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.9,"1,540",,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Pb-Zn
Plenty River,NT,1982-1983,0.044E,,160E,1.5E,8.5E,2.5E,,,,,,,,,,,,,,,,,,,,,,,2.7E,50E,,,,,1.1E,50E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,1.35,0.55,,,,,,,,,,,,,,,,,,,,ND,Zn,,,Aban,Pb-Zn-Cu-Ag
Daly River,NT,1884-1918,0.006E,,,20E,,,,,,,,,,,0.006E,20E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,ND,Cu,,,Aban,Cu
Mount Garnet (Cu),QLD,1901-1903,0.099,0.02,305,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,30.24,4.89,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Mount Chalmers (smelter),QLD,1908-1914,0.245,4.15,16.6,2.62,,,,,,,,,,,,,,,,,,,18.8,11.2,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,5.52,9.88,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
O.K. (smelter),QLD,1902-1909,0.080,0.08,0.54,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.043,7.98,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Ag-Au
Mount Molloy (smelter),QLD,1902-1908,0.045,,1.9,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,3.97,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Ag
Mount Cannindah-Mount Hector,QLD,1903-1969@,0.020,2.6,28.4,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,60.4,,,,,,,0.052,0.573,1.40,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Ag-Au
Mount Perry,QLD,1888-1938@,0.146,5.1,164,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,59.3,,,,,,,0.744,24.03,18.39,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Answer,QLD,1911-1981@,0.0089,0.73,12.6,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065,0.111,0.769,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Blockade Group,QLD,1943-1972@,0.014,,,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Clonclurry Field: Crusader Group,QLD,1908-1967@,0.0055,0.059,0.26,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00032,0.0015,0.733,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Duchess,QLD,1904-1957@,0.182,0.99,23.7,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181,4.31,17.6,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Great Australia,QLD,1906-1968@,0.021,0.42,1.4,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089,0.030,1.30,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Hampden-Kuridala / Consols,QLD,1900-1975@,0.307,1.21,19.8,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371,6.08,28.7,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Kalkadoon-Mount Kalkadoon,QLD,1904-1971@,0.034,0.047,0.59,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016,0.020,2.55,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Lady Annie-Lady Anne,QLD,1937-1964@,0.018,0.0035,0.022,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00006,0.00040,1.60,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Lillimay-Lillymay-Lilly May,QLD,1953-1975@,0.0068,,,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Clonclurry Field: Mammoth-Kabunga,QLD,1927-1979@,0.011,0.016,0.27,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00017,0.0029,1.01,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Mighty Atom-South Atom,QLD,1901-1971@,0.0066,0.045,0.30,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00030,0.0019,0.500,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Mount Cuthbert,QLD,1905-1945@,0.082,0.052,0.59,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0043,0.049,5.97,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Mount Elliott / Consols,QLD,1906-1939@,0.268,4.40,5.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.4,27.3,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Mount Hope-Mount Hope North,QLD,1906-1974@,0.012,0.0090,0.025,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011,0.00030,0.665,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Mount Norma,QLD,1955-1979@,0.0088,,31.9,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279,0.551,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au
Clonclurry Field: Mount Oxide-Mount Oxide North,QLD,1905-1970@,0.095,0.0030,10.3,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00029,0.972,13.1,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Dobbyn Group,QLD,1909-1956@,0.014,0.31,4.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0043,0.054,2.08,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Orphan-Orphan Rock,QLD,1910-1975@,0.026,0.16,1.9,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0041,0.050,2.80,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Referee-Referee Extended,QLD,1922-1975@,0.0082,0.052,2.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00042,0.018,0.815,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Rosebud-Rosebud No. 2,QLD,1910-1973@,0.023,0.98,0.010,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.00022,1.31,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Salmon,QLD,1913-1953@,0.0058,1.02,28.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0059,0.165,0.590,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Surprise-Mount Surprise,QLD,1910-1979@,0.0060,0.74,0.95,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0045,0.0057,0.653,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Trekelano-Trikilana,QLD,1906-1971@,0.135,1.92,6.1,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258,0.825,14.5,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Warwick Castle-Castle Bar,QLD,1917-1981@,0.0073,0.044,0.64,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00032,0.0047,0.374,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Wee MacGregor,QLD,1915-1981@,0.035,0.92,22.3,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.780,3.35,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Clonclurry Field: Winston Churchill,QLD,1967-1974,0.0085,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Clonclurry Field: Mines <5 kt ore,QLD,1898-1981@,0.235,0.33,3.8,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.899,28.0,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Gunpowder (hard rock),QLD,1970-1979,2.43,,,2.76,,,,,,,,,,,,,,,,,,,181.7,28.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu
Gunpowder (stope leaching),QLD,1980-1982,1.82,,,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6E,82.6E,,,,,,,,,50.9,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu
Gunpowder (stope & heap leaching),QLD,1990-1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu
Dianne,QLD,1980-1983,0.074,,31.5E,23.6,,,,,,,,,,,73.5,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,17.3,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Ag
Einasleigh,QLD,1901-1931@,0.138,0.59,16.1,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,2.22,7.69,0.233,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Etheridge Field (CuAuAg),QLD,1901-1931@,0.033,30.1,145,4.19,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,4.84,1.40,1.43,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag-Pb
Etheridge-Dry Hash,QLD,1910-1939@,0.0054,17.3,68.5,0.56,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,0.373,0.030,0.397,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag-Pb
Etheridge-Mosquito Creek,QLD,1909-1910,0.0008,0.37,"1,933",,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00029,1.51,,0.273,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Au-Ag
Glassford Creek-Gladstone Miscellaneous,QLD,1903-1951@,0.0063,14.3,96.6,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.090,0.609,0.279,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au-Cu-Ag
Mount Garnet (PbZnAgCuAu),QLD,2003-2020,5.46,0.4,44,1.1,2.2,8.5,,,,,,,,,,,,,,,,,155.1,23.3,4.2,395,,,113.8,57.7,,895,,4.0,773.3,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.943,153.5,39.1,75.2,405.6,,,,,,,,,,,,,,,,,,,,31.0,,E,,C&M,Cu-Pb-Zn-Ag-Au
Thalanga (Cu),QLD,1998-2012,7.71,0.48,10.8,4.23,,,,,,,,,,,,,,,,,,,935.3,26.77,1.4,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,41.3,297.7,,,,,,,,,,,,,,,,,,,,,,22.6,,E,,C&M,Cu
Thalanga (PbZnAgCuAu),QLD,"1990-2021@,#",6.94,0.3E,31.4E,1.6,2.4,7.3,,,,,,,,,,,,,,,,,292.9,28.2,3.7E,152E,,,194.5,57.8,1.8E,"1,010E",2.7E,,756.1,54.4,,,,,,,,,,,,,,,,,,,,,,,,60.0,10.8,,32.9,,,,,0.276,141.6,90.0,112.4,431.3,,,,,,,,,,,,,,,,,,,,31.0,,E,,Op,Cu-Pb-Zn-Ag-Au
Mount Cuthbert,QLD,1996-2008@,2.73,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu
Great Australia,QLD,1996-1998,1.11,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,1.93,,,,C&M,Cu
Mount Gordon-Capricorn,QLD,"1998-2021@,#",18.7E,,,3.0E,,,,,,,,,,,50,26.0,,,,,,,"1,070E",22.7E,,80E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,490.0,,,,,,,,,,,,,,,,,,,,,,16.8,"Ag, Cu",E,,Op,Cu
Duck Creek,QLD,1997,0.110,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,ND,Cu,,,C&M,Cu
Mount Norma,QLD,2004,0.028,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu
Chillagoe Field (PbAg),QLD,1883-1939,0.690,0.23,309,2.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,213.4,15.1,57.9,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Au-Cu-Ag
Chillagoe Field (CuAuAg),QLD,1889-1943,0.675,6.5,111,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40,74.9,54.6,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Chillagoe Field (ZnPbAg),QLD,1924-1926,0.00073,,77,,2.3,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,0.017,0.297,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Zn-Ag
Nifty (heap leach & mill),WA,1993-2019,40.1,,,2.12,,,,,,,,,,,,,,,,,,,"1,649E",30.1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.1,,,,,,,,,,,,,,,,,,,,,,69.8,,E,,C&M,Cu
Whim Creek (heap leach),WA,2005-2009,6.77,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.3,,,,,,,,,,,,,,,,,,,,,,4.13,,,,C&M,Cu
